lsoacode,hpmd202003,hpmd202103
E01012478,150706,169260
E01012479,111293,131795
E01012480,102033,128059
E01012481,111943,144023
E01012482,117702,107955
E01012483,94448,101081
E01012485,231597,265284
E01012486,226360,282913
E01012487,251355,296045
E01012488,432100,399532
E01012489,458516,464534
E01012490,240904,245386
E01012491,214291,181536
E01012492,226885,229740
E01012493,192526,216301
E01012494,245850,236197
E01012495,219879,187832
E01012496,175466,205205
E01012497,144100,150800
E01012498,131497,135700
E01012499,173623,184926
E01012500,204756,211122
E01012501,158381,152510
E01012502,452331,431647
E01012503,327013,383664
E01012504,146190,158668
E01012505,169025,186357
E01012506,123530,140700
E01012507,114982,125488
E01012508,125363,132673
E01012509,198744,206099
E01012510,194016,184218
E01012511,124846,122420
E01012512,195286,208750
E01012513,373654,476870
E01012514,543020,437738
E01012515,283909,325831
E01012516,577130,484816
E01012517,309736,345377
E01012518,398764,4031586
E01012519,322362,329776
E01012520,108778,122730
E01012521,119438,156433
E01012522,119953,129571
E01012523,124355,127184
E01012524,156761,180300
E01012525,117047,120235
E01012526,103889,
E01012527,173458,181973
E01012528,236809,246909
E01012529,194941,192548
E01012530,241250,306409
E01012531,189994,185913
E01012532,181676,243638
E01012533,,
E01012534,107357,114614
E01012535,118162,126750
E01012536,122358,132250
E01012537,123596,117371
E01012538,166405,195106
E01012539,161000,146918
E01012540,188406,244576
E01012541,226379,197163
E01012542,167004,177800
E01012543,188162,183024
E01012544,187976,181045
E01012545,134599,145200
E01012546,144000,142167
E01012547,189038,212708
E01012548,188475,211122
E01012549,207489,219579
E01012550,195632,210382
E01012551,211327,240423
E01012552,165723,200333
E01012553,266875,264597
E01012554,228999,262862
E01012555,204304,208150
E01012556,189100,183597
E01012557,255397,290817
E01012558,345830,356041
E01012559,345292,408153
E01012560,298714,389251
E01012561,172119,193556
E01012562,236086,284500
E01012563,258175,274619
E01012564,201247,222245
E01012565,230716,225104
E01012566,233018,235606
E01012567,286692,321873
E01012568,211032,211303
E01012569,222904,268552
E01012570,190278,182038
E01033299,129419,115006
E01033300,101857,
E01033302,102650,129979
E01033303,79150,99685
E01012571,89167,
E01012572,,
E01012573,,88417
E01012574,102889,105643
E01012575,,
E01012576,73250,77090
E01012577,82179,100750
E01012578,92669,108000
E01012579,101111,106667
E01012580,89286,107438
E01012581,167202,172461
E01012582,268600,250143
E01012583,228402,218433
E01012584,251475,353392
E01012585,133118,150091
E01012586,129063,119913
E01012587,131318,155217
E01012588,94605,102543
E01012589,88374,109541
E01012590,89789,99373
E01012591,140529,163893
E01012592,181150,190198
E01012593,112027,80968
E01012594,89882,90431
E01012595,74500,80941
E01012596,70545,64650
E01012597,159969,154233
E01012598,191394,201192
E01012599,128116,118671
E01012600,,80500
E01012601,87754,
E01012602,132667,137050
E01012603,66200,91450
E01012604,161845,140904
E01012605,94409,103550
E01012606,99333,117286
E01012607,142597,140404
E01012608,103577,101928
E01012609,186784,165598
E01012610,185042,156764
E01012611,224625,229115
E01012612,158257,174078
E01012613,219813,222839
E01012614,195810,163658
E01012615,132110,123950
E01012616,189529,175935
E01012617,89920,88714
E01012618,119680,122378
E01012619,,74700
E01012620,207667,138412
E01012621,100331,96931
